Categoria,Subcat_01,Subcat_02,Subcat_03,Subcat_04,Subcat_05,Subcat_06,Subcat_07,Subcat_08,Subcat_09,Subcat_10,Subcat_11,Subcat_12,Subcat_13,Subcat_14,Subcat_15,Subcat_16,Subcat_17,Subcat_18,Subcat_19,Subcat_20,Subcat_21,Subcat_22,Subcat_23,Subcat_24,Subcat_25
"Cocina, Banquetes y Eventos",Banquetes y catering,Bares móviles y mixología,Chef a domicilio y meal-prep,DJ/Audio/Iluminación,Planeación de bodas y eventos,Renta de mobiliario y montaje,,,,,,,,,,,,,,,,,,,
Comercio Exterior y Aduanas,Agente aduanal y regulaciones NOM,Asesoría importación/exportación,Clasificación arancelaria y pedimentos,IMMEX y logística internacional,Seguro de carga y embalaje,,,,,,,,,,,,,,,,,,,,
Construcción y Remodelación,Cocinas y baños (remodelación),Obra gris y albañilería,Pisos y recubrimientos,Planificación de obra y presupuestos,Tablaroca/drywall y plafones,Techos y pérgolas,,,,,,,,,,,,,,,,,,,
Control de Plagas,Certificados y garantías,Control integrado post-obra,Desratización,Fumigación general,Mosquitos y vectores,Termitas y carcoma,,,,,,,,,,,,,,,,,,,
"Donativos, Voluntariado y ONG","Campañas y colectas (emergencias, regreso a clases, temporada fría)",Certificaciones de ONG y cumplimiento,"Donaciones en especie (alimentos, ropa, higiene, mobiliario, equipo)",Donaciones monetarias (únicas y recurrentes),Matching corporativo y patrocinios,Recogida a domicilio de donaciones / puntos de acopio,Transparencia y reportes de impacto,Voluntariado individual y corporativo (incl. pro bono),,,,,,,,,,,,,,,,,
"Drones, Topografía e Inspecciones",Cartografía y levantamientos,Entrega de ortomosaicos,Fotogrametría,Gestión de permisos de vuelo,Inspección de techos/fachadas,Termografía,,,,,,,,,,,,,,,,,,,
Educación y Tutorías,Apoyo escolar,Educación especial y psicopedagogía,Habilidades digitales y ofimática,Lectura y redacción,Preparación COMIPEMS/EXANI/SAT/GMAT/GRE,Programación/robótica STEM,Regularización por nivel,Terapia de lenguaje,Tutorías universitarias (mates/física/química),Técnicas de estudio y exámenes,,,,,,,,,,,,,,,
Electricidad,Diagnóstico de cortos/variación,Iluminación LED y diseño,Instalaciones y canalizaciones,Pararrayos y puesta a tierra,Tablero eléctrico y protecciones,"Tomas, contactos y USB",,,,,,,,,,,,,,,,,,,
Electrodomésticos,Equipos comerciales ligeros,Garantías y refacciones,"Instalación (hornos, lavavajillas)",Mantenimiento preventivo,Reparación de línea blanca,,,,,,,,,,,,,,,,,,,,
Energía y Sustentabilidad,Calentamiento solar de agua,Certificaciones verdes,Eficiencia energética y auditorías,Generadores y respaldo,Gestión de residuos/reciclaje,Paneles solares y almacenamiento,,,,,,,,,,,,,,,,,,,
Eventos Corporativos y Sociales,"Audio, iluminación y video",Bodas / Wedding planner,"Carpas, toldos y domos",Catering y coffee breaks,Convenciones y congresos,Coordinación y gestión de proveedores,Decoración y flores,Entretenimiento,"Eventos sociales (XV, bautizos, aniversarios)",Fotografía y video,Generadores y UPS,Limpieza post-evento,Mobiliario y ambientación,Permisos y Protección Civil,Pirotecnia fría y efectos especiales,Planeación y producción integral,Registro y acreditaciones,Seguridad y accesos,Señalización y branding,"Tarimas, pistas y escenarios",Transporte de invitados,Venue scouting,,,
Fitness y Belleza,Barbería y estilismo a domicilio,Entrenamiento personal,Manicure y pedicure,Maquillaje y peinado para eventos,Spa y masajes terapéuticos,Tratamientos faciales y corporales,,,,,,,,,,,,,,,,,,,
Fotografía y Video,Dron/FPV,Edición y post,Eventos y social,Inmobiliaria y arquitectura,,,,,,,,,,,,,,,,,,,,,
Gestión de Residuos y Reciclaje,Certificados de disposición,Compostaje y puntos verdes,Reciclaje de papel/cartón/plástico/vidrio/metal,Recolección de voluminosos y escombro,Residuos peligrosos domésticos,,,,,,,,,,,,,,,,,,,,
"Herrería, Aluminio y Vidrio",Barandales y puertas,Cortinas metálicas,Cristales templados,Mosquiteros y sellos,Soldadura y estructuras ligeras,Ventanas y cancelería,,,,,,,,,,,,,,,,,,,
Idiomas y Certificaciones,CELPE-Bras,Chino/Japonés,Clases corporativas y coaching,DELE/SIELE,DELF/DALF,Español para extranjeros,Francés/Alemán/Italiano/Portugués,Goethe/TestDaF,Inglés general y académico,Preparación TOEFL/IELTS/Cambridge,,,,,,,,,,,,,,,
Impresión y Señalización,Lonas y vinil,Papelería corporativa y personal,Rotulación vehicular y vitrinas,Señalética de seguridad,Sublimación/serigrafía y promocionales,,,,,,,,,,,,,,,,,,,,
Inmigración y Servicios Migratorios,Antecedentes no penales,Apostilla y legalización,Asesoría migratoria integral,Casos legales y apelaciones,Citas consulares y formularios,Cumplimiento corporativo,Defensa/deportación/asilo,Extensiones de visa,Naturalización y ciudadanía,Notaría/fe pública,Regularización / canje,Relocalización (enlace Expat),Residencia temporal y permanente,Seguimiento de estatus,Traducción certificada (enlace),Visas de estudiante,Visas de inversionista y nómada digital,Visas de trabajo y permisos,Visas de turista/negocios,Visas familiares,,,,,
Jardinería y Paisajismo,Control de plagas de jardín,Jardín vertical y huertos,Mantenimiento de jardines,Paisajismo y diseño,Podas y tala controlada,Riego automatizado,,,,,,,,,,,,,,,,,,,
Lavandería y Tintorería,Alfombras y tapetes,Lavado y planchado a domicilio,Lavandería industrial,Ropa delicada/edredones/cortinas,Tintorería fina,,,,,,,,,,,,,,,,,,,,
Limpieza,Cisternas y tinacos,Desinfección y sanitización,Limpieza post-obra,Limpieza profunda,Limpieza residencial,Retiro de escombros,Tapicerías y alfombras,Vidrios y altura,,,,,,,,,,,,,,,,,
Marketplace (Compra / Venta / Intercambio),Accesorios para mascotas,Bebés y niños,Deportes y ciclismo,Donaciones / Regálalo,Electrodomésticos y línea blanca,Electrónica y cómputo,Herramientas y ferretería,"Libros, música e instrumentos",Moda y accesorios,Muebles y decoración del hogar,Trueque / Intercambio,Vehículos y autopartes ligeras,,,,,,,,,,,,,
Mascotas y Veterinaria,Adopción y rescate (dar/recibir),Alimentos y suplementos (delivery),Asesoría nutricional,Clínicas móviles / esterilización,Control de parásitos,Documentación y viajes,Entrenamiento y conducta,Especialidades veterinarias,Especies exóticas,Eutanasia y cremación,Fotografía de mascotas,"Grooming (baño a domicilio, estética)",Guardería y hotel de mascotas,Microchip e identificación,Paseos y pet sitting,Perdido y Encontrado (enlace),Refugios y asociaciones,Rehabilitación e hidroterapia,Reproducción responsable,Seguros para mascotas,Tele-veterinaria,Tienda y accesorios,Transporte de mascotas (pet taxi),Urgencias 24/7 y hospitalización,"Veterinaria general (consulta, vacunas)"
"Mensajería, Paquetería y Mandados",Entrega local (última milla),Personal shopper (super/farmacia),Trámites/gestoría express,,,,,,,,,,,,,,,,,,,,,,
Mudanzas y Logística,Embalaje profesional,Mini-bodegas/guardamuebles,Mudanza local y nacional,Recolección de voluminosos,Servicios náuticos (moto/bote),Traslado de objetos frágiles,,,,,,,,,,,,,,,,,,,
Organizaciones Sociales y Asistencia,Bancos de alimentos y comedores,Casas de adultos mayores / asilos,Centros comunitarios y bibliotecas,Centros de rehabilitación,Fundaciones,ONG ambientales y protección animal,Orfanatos y casas hogar,Programas de inclusión y discapacidad,Refugios y albergues,,,,,,,,,,,,,,,,
Pintura e Impermeabilización,Fachadas y revocos,Impermeabilización de azoteas,Pintura interior/exterior,Recubrimientos epóxicos,Resanes y yeso,Tratamiento de humedades/salitre,,,,,,,,,,,,,,,,,,,
Plomería,Bombas e hidroneumáticos,Calentadores (gas/eléctrico),Fugas y desazolve,Instalación y reparación de llaves y WC,Purificación de agua / ósmosis,Tuberías y drenaje,,,,,,,,,,,,,,,,,,,
Psicología y Bienestar,Coaching y bienestar emocional,Grupos de apoyo,Mindfulness y manejo de estrés,Psicoterapia individual/pareja,Terapias alternativas,,,,,,,,,,,,,,,,,,,,
"Rentas (Corto, Mediano y Largo Plazo)",Bodegas / mini-bodegas,Coworking y salas por hora,Cuartos/coliving/roommate,Estacionamiento / cajón,Oficinas y locales comerciales,"Renta de equipo (herramientas, eventos)",Vivienda: casa/departamento/estudio,,,,,,,,,,,,,,,,,,
Rentas Vacacionales y Co-Hosting,Atención a huéspedes 24/7,Check-in/out y llaves inteligentes,Foto/Video inmobiliario,Gestión de anuncios y pricing,Inspecciones y reportes,Limpieza turnover y lavandería,,,,,,,,,,,,,,,,,,,
Reparación de Dispositivos y Electrónica,Celulares y tablets,Consolas y periféricos,Laptops/PC (hardware/software),Mantenimiento preventivo,Respaldo y ciberseguridad doméstica,,,,,,,,,,,,,,,,,,,,
Restaurantes y Comida a Domicilio,Bebidas y hielo a domicilio,Catering express hogar/oficina,Comida casera a domicilio,Dark kitchens / ghost kitchens,Dietas especiales (vegano/keto/sin gluten),Kits de cocina (ready-to-cook),Meal-prep semanal,Repostería y panadería a domicilio,Restaurantes locales (pedido y entrega),Servicio nocturno / 24/7,Supermercado / abarrotes a domicilio,Suscripciones de comida,,,,,,,,,,,,,
"Rifas, Sorteos y Promociones",Certificación de ganador y publicación,Concursos de habilidad (no azar),Giveaways digitales,Rifas benéficas (ONG),Software de sorteo y auditoría,Sorteos promocionales,Tómbolas y eventos,,,,,,,,,,,,,,,,,,
"Salud, Medicina y Enfermería",Enfermería y curaciones,Especialistas (odonto/oftalmo/etc.),Fisioterapia y rehabilitación,Laboratorio a domicilio,Médico general (domicilio/telemedicina),Nutrición clínica,,,,,,,,,,,,,,,,,,,
Seguridad (CCTV y Accesos),Alarmas y sensores,Cercas eléctricas,Cerrajería urgente 24/7,Control de acceso y videoporteros,Cámaras y DVR/NVR,Monitoreo y respuesta,,,,,,,,,,,,,,,,,,,
Servicios Funerarios,Acompañamiento psicológico,Cremación/inhumación y velatorios,Planes de previsión,Traslado y repatriación,Trámites y actas,,,,,,,,,,,,,,,,,,,,
Servicios Legales y Notariales,"Civil (contratos, arrendamiento, sucesiones)","Familiar (divorcios, custodia)","Fiscal (defensa SAT, planeación)",Inmobiliario y condominios,Laboral (asesoría/defensa),Mediación y arbitraje,"Mercantil/Corporativo (constitución, gobierno)",Migratorio (enlace a categoría 34),"Notaría (escrituras, poderes)",Penal (asesoría/defensa),Propiedad intelectual y datos personales,,,,,,,,,,,,,,
Servicios Náuticos y Marina,Capitanes y tripulación,Electrónica marina,Limpieza de yates y muelles,Mantenimiento de embarcaciones,Permisos y seguros marítimos,Varado y pintura antiincrustante,,,,,,,,,,,,,,,,,,,
Servicios para Comercios y Oficinas,Cortinas metálicas y accesos,Limpieza comercial y post-horario,Mantenimiento integral (facility),Refrigeración/comercial y cocinas industriales,Sanitización y control de inventarios,,,,,,,,,,,,,,,,,,,,
"Tecnología, Redes y Smart Home",Asistentes de voz y escenas,Ciberseguridad doméstica,Domótica (iluminación/clima/cortinas),Routers y mallas (mesh),Servidores NAS/backup,Wi-Fi y cableado estructurado,,,,,,,,,,,,,,,,,,,
Telecomunicaciones e Internet,Cableado estructurado y racks,Instalación de fibra/ISP y routers,Optimización Wi-Fi (site survey),Telefonía IP/centralitas y cámaras IP,TV satelital/cable y streaming,,,,,,,,,,,,,,,,,,,,
Traducción e Interpretación,Apostilla y legalización de traducciones,Interpretación simultánea y consecutiva,Localización de sitios y apps,Subtitulaje y voice-over,Traducción certificada / perito traductor,Traducción legal y técnica,Transcripción certificada,,,,,,,,,,,,,,,,,,
Transporte Terrestre y Conductores,Chofer privado por hora (sedán/SUV/van),"Interurbano (Cancún–Playa–Tulum, etc.)",Limo/ejecutivo,Paquetería rider (enlace),Transporte accesible (rampa),Transporte escolar,Transporte para eventos,Traslados aeropuerto (privado/compartido),Traslados punto a punto,Vans/autobuses con operador,,,,,,,,,,,,,,,
